TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PP,CDS,PH,FE-JONS,PCPE-EK,POSI,UCE,F.N.,UNA,UV,E.U.,PSE-EE/PSOE,PREPAL,AA,LV-GV,DN,PACMA/ZAAAA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPD,IF,PNV...(E09),SAIN,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
BIZKAIA,003,009,ARRANKUDIAGA,753,443,2,441,3,438,310,22,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,233,0,0,25,0,0,4,0,138
BIZKAIA,003,011,ARRIGORRIAGA,9726,4018,8,4010,30,3980,5708,446,2,1,3,2,7,1,2,1,0,0,1151,0,0,19,0,6,1,0,5,4,0,0,0,43,7,1383,1,1,187,6,0,96,2,603
BIZKAIA,003,015,BASAURI,35935,14954,68,14886,79,14807,20981,2288,2,11,0,12,8,7,2,4,0,3,5972,3,1,62,9,39,5,0,32,5,2,2,2,165,13,4028,2,2,419,31,1,243,12,1420
BIZKAIA,003,019,BERRIZ,3872,1675,5,1670,10,1660,2197,149,1,0,0,2,0,0,0,0,0,0,397,1,0,10,0,2,1,0,2,4,0,1,0,19,1,600,0,0,101,0,0,29,0,340
BIZKAIA,003,023,ARTEA,616,391,8,383,3,380,225,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,180,0,0,76,1,0,2,0,94
BIZKAIA,003,024,ZEANURI,1057,635,2,633,2,631,422,12,1,0,0,0,0,0,0,0,0,0,16,0,0,1,0,1,0,0,0,0,0,0,0,0,1,348,0,0,89,2,0,4,0,156
BIZKAIA,003,025,ZEBERIO,875,455,1,454,2,452,420,8,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,261,0,0,23,0,0,4,0,143
BIZKAIA,003,026,DIMA,1060,651,2,649,2,647,409,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,322,0,0,47,0,0,0,0,257
BIZKAIA,003,027,DURANGO,21636,9364,15,9349,69,9280,12272,1197,1,1,2,6,2,2,2,0,0,2,2002,1,1,42,2,12,2,0,12,15,1,1,1,92,4,3297,1,2,673,5,1,149,6,1743
BIZKAIA,003,029,ETXEBARRI,7416,2682,13,2669,21,2648,4734,457,2,0,0,4,5,1,0,0,1,1,1106,0,0,20,0,11,0,0,12,1,0,0,0,60,3,578,2,2,112,6,1,60,2,201
