,id_provincia,año,Partidos,Votos
643,20,2024,PFAC,463
644,21,2024,PFAC,176
645,22,2024,PFAC,149
646,23,2024,PFAC,191
647,24,2024,PFAC,292
648,25,2024,PFAC,202
649,26,2024,PFAC,205
650,27,2024,PFAC,119
651,28,2024,PFAC,4677
652,29,2024,PFAC,683
653,30,2024,PFAC,565
654,31,2024,PFAC,744
655,32,2024,PFAC,130
656,33,2024,PFAC,775
657,34,2024,PFAC,127
658,35,2024,PFAC,536
659,36,2024,PFAC,556
660,37,2024,PFAC,197
661,38,2024,PFAC,595
662,39,2024,PFAC,303
663,40,2024,PFAC,87
664,41,2024,PFAC,995
665,42,2024,PFAC,34
666,43,2024,PFAC,431
667,44,2024,PFAC,51
668,45,2024,PFAC,278
669,46,2024,PFAC,2060
670,47,2024,PFAC,313
671,48,2024,PFAC,924
672,49,2024,PFAC,65
673,50,2024,PFAC,578
674,51,2024,PFAC,10
675,52,2024,PFAC,13
676,1,2024,IE,313
677,2,2024,IE,126
678,3,2024,IE,1108
679,4,2024,IE,295
680,5,2024,IE,74
681,6,2024,IE,158
682,7,2024,IE,1178
683,8,2024,IE,3709
684,9,2024,IE,222
685,10,2024,IE,106
686,11,2024,IE,471
687,12,2024,IE,304
688,13,2024,IE,145
689,14,2024,IE,261
690,15,2024,IE,349
691,16,2024,IE,48
692,17,2024,IE,461
693,18,2024,IE,475
694,19,2024,IE,135
695,20,2024,IE,606
696,21,2024,IE,475
697,22,2024,IE,205
698,23,2024,IE,146
699,24,2024,IE,244
700,25,2024,IE,371
701,26,2024,IE,169
702,27,2024,IE,107
703,28,2024,IE,3453
704,29,2024,IE,1101
705,30,2024,IE,553
706,31,2024,IE,711
707,32,2024,IE,92
708,33,2024,IE,521
709,34,2024,IE,90
710,35,2024,IE,574
711,36,2024,IE,436
712,37,2024,IE,115
713,38,2024,IE,663
714,39,2024,IE,485
715,40,2024,IE,86
716,41,2024,IE,917
