TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,PACMA/ATTKA,MSR,UPYD,C´S,I.FEM,SAIN,IU-LV,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
ARABA-ÁLAVA,43,OYÓN-OION,1,1,U,818,361,5,356,4,352,457,60,97,0,0,0,0,0,0,0,1,0,23,5,0,2,15,3,64,54,0,0,0,2,0,1,0,0,0,0,0,0,22,0,0,0,2,0,1,0
ARABA-ÁLAVA,43,OYÓN-OION,1,2,A,747,327,9,318,3,315,420,46,58,0,0,2,0,0,0,0,9,0,10,8,1,1,28,3,55,46,1,0,0,2,6,4,0,3,0,0,0,0,27,0,0,0,1,0,4,0
ARABA-ÁLAVA,43,OYÓN-OION,1,2,B,764,331,2,329,8,321,433,59,60,0,0,0,0,0,0,0,1,0,16,2,1,0,26,1,49,53,1,0,0,0,4,2,0,2,2,0,0,0,40,0,0,0,0,1,0,1
ARABA-ÁLAVA,44,PEÑACERRADA-URIZAHARRA,1,1,U,236,119,0,119,2,117,117,18,27,0,0,1,0,0,0,0,0,0,3,0,0,0,8,1,31,20,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0
ARABA-ÁLAVA,46,ERRIBERA GOITIA/RIBERA ALTA,1,1,U,593,274,2,272,2,270,319,19,47,2,0,1,0,0,0,0,2,1,11,5,1,0,8,7,46,86,0,0,0,2,6,2,0,3,1,0,0,1,17,0,0,0,0,0,2,0
ARABA-ÁLAVA,47,RIBERA BAJA/ERRIBERA BEITIA,1,1,U,980,400,22,378,8,370,580,72,92,1,0,1,0,0,0,1,8,0,17,4,2,0,19,3,23,74,0,0,0,0,13,4,0,3,0,1,0,0,28,0,1,1,1,0,1,0
ARABA-ÁLAVA,49,AÑANA,1,1,U,143,87,0,87,2,85,56,7,11,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,26,29,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
ARABA-ÁLAVA,51,AGURAIN/SALVATIERRA,1,1,A,581,233,3,230,2,228,348,21,17,0,0,1,0,0,0,0,3,0,4,0,1,0,8,1,85,73,0,0,0,1,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1
ARABA-ÁLAVA,51,AGURAIN/SALVATIERRA,1,1,B,592,228,1,227,4,223,364,23,18,2,0,1,0,0,0,0,1,0,3,0,0,0,9,2,89,58,0,0,0,0,4,0,0,0,1,0,0,0,10,0,0,0,1,0,1,0
ARABA-ÁLAVA,51,AGURAIN/SALVATIERRA,1,2,A,657,256,2,254,1,253,401,15,18,0,1,0,0,0,0,0,1,0,5,2,0,0,13,4,99,72,0,0,0,1,2,0,0,1,0,0,0,0,17,0,0,0,0,0,1,1
ARABA-ÁLAVA,51,AGURAIN/SALVATIERRA,1,2,B,769,296,1,295,1,294,473,11,19,0,0,0,0,0,0,0,4,0,7,2,0,0,7,5,118,87,0,0,0,0,4,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0
ARABA-ÁLAVA,51,AGURAIN/SALVATIERRA,1,3,U,1024,347,4,343,2,341,677,53,35,1,0,4,0,3,0,1,0,0,7,5,0,0,23,5,82,67,0,2,0,2,6,0,0,2,0,0,0,0,39,1,1,1,0,0,1,0
ARABA-ÁLAVA,52,SAMANIEGO,1,1,U,234,149,1,148,3,145,85,33,11,0,0,2,0,0,0,0,0,0,3,1,1,0,6,1,32,47,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0
