TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,EB,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE-LI.(LIT-CI),CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
ARABA-ÁLAVA,002,063,ZUIA,1704,834,113,721,3,718,870,123,161,21,2,0,1,1,0,0,0,0,0,0,9,319,0,0,0,68,0,1,0,4,0,1,0,3,0,0,0,4
ARABA-ÁLAVA,002,901,IRUÑA OKA / IRUÑA DE OCA,1709,693,21,672,5,667,1016,262,225,18,0,0,0,0,2,0,0,0,1,0,3,122,0,1,0,19,0,0,0,0,3,1,0,2,2,0,0,6
ARABA-ÁLAVA,002,902,LANTARÓN,841,413,16,397,2,395,428,95,165,7,0,0,0,0,0,0,0,2,0,0,1,106,2,0,0,10,0,0,0,0,0,0,0,5,0,0,0,2
ARABA-ÁLAVA,003,002,AMURRIO,8009,3852,434,3418,19,3399,4157,779,578,97,0,0,1,0,3,3,0,1,0,0,51,1374,2,0,0,465,1,0,2,0,2,2,0,22,0,1,2,13
ARABA-ÁLAVA,003,004,ARTZINIEGA,1184,716,63,653,5,648,468,98,164,12,0,0,0,0,1,0,0,0,0,0,29,287,2,0,0,43,0,0,1,2,0,0,0,2,0,0,1,6
ARABA-ÁLAVA,003,010,AYALA / AIARA,2055,1098,120,978,7,971,957,94,183,24,0,0,0,0,0,0,0,0,0,0,17,560,2,0,0,84,0,0,0,0,0,0,1,4,0,0,0,2
ARABA-ÁLAVA,003,036,LAUDIO / LLODIO,16149,7236,1042,6194,39,6155,8913,1785,1243,193,4,1,1,1,6,1,2,5,3,0,54,2394,4,1,1,373,1,0,0,6,2,6,0,38,5,0,6,19
ARABA-ÁLAVA,003,042,OKONDO,827,458,72,386,0,386,369,19,43,5,0,0,0,0,0,0,0,0,0,0,5,229,0,0,0,79,0,0,3,0,0,1,0,0,1,1,0,0
ARABA-ÁLAVA,099,999,MUNICIPIO CERA ARABA,3085,571,7,564,2,562,2514,168,166,23,1,0,0,0,1,0,0,0,0,0,2,152,0,0,0,18,0,0,4,2,0,1,3,2,11,0,1,7
GIPUZKOA,001,040,HERNANI,15472,6200,2405,3795,32,3763,9272,1297,531,207,0,1,1,0,1,0,0,0,2,0,124,968,2,0,1,576,0,0,2,2,1,5,0,26,0,0,0,16
GIPUZKOA,001,069,DONOSTIA-SAN SEBASTIÁN,150983,65327,8136,57191,417,56774,85656,16820,15379,2315,21,15,23,8,40,5,12,8,21,8,1033,13392,60,4,1,6653,14,18,56,89,30,26,4,364,25,25,27,278
GIPUZKOA,001,072,URNIETA,4542,1726,304,1422,7,1415,2816,536,204,89,2,1,1,0,1,1,0,0,0,0,22,435,2,1,0,110,0,0,1,0,1,1,0,4,0,0,2,1
GIPUZKOA,001,073,USURBIL,4581,1929,658,1271,9,1262,2652,277,116,45,0,0,0,0,0,0,0,0,0,0,112,436,1,0,0,263,0,0,0,1,0,2,0,7,0,1,0,1
GIPUZKOA,001,902,LASARTE-ORIA,14984,6541,829,5712,31,5681,8443,2795,1004,257,2,0,4,3,2,3,1,0,1,0,74,1066,4,1,1,375,0,2,6,1,2,7,0,41,0,0,2,27
GIPUZKOA,001,903,ASTIGARRAGA,3248,1136,379,757,5,752,2112,132,104,24,0,0,0,0,0,0,0,0,0,0,21,288,0,0,0,174,0,0,1,0,0,0,0,2,3,0,1,2
